test_type,component_name,file_size,file_name,false_rate,total_nb_of_tested,ers_score,control_attempts
k2,crypto,0_50,1_0_50,0.0,2.0,0.93,1.0
k2,crypto,0_50,2_0_50,0.33,3.0,0.85,1.0
k2,crypto,0_50,3_0_50,0.0,2.67,0.93,1.0
k2,crypto,0_50,4_0_50,0.0,0.0,0.91,1.0
k2,crypto,0_50,5_0_50,0.0,8.0,0.95,1.0
k2,crypto,100_200,11_100_200,0.05,19.0,0.94,1.0
k2,crypto,100_200,12_100_200,0.17,24.33,0.86,1.0
k2,crypto,100_200,13_100_200,0.43,7.33,0.77,1.0
k2,crypto,100_200,14_100_200,0.24,15.0,0.81,1.0
k2,crypto,100_200,15_100_200,0.14,17.67,0.88,1.0
k2,crypto,200_300,16_200_300,0.16,12.33,0.87,1.0
k2,crypto,200_300,17_200_300,0.0,14.67,0.96,1.0
k2,crypto,200_300,18_200_300,0.07,7.67,0.92,1.0
k2,crypto,200_300,19_200_300,0.3,7.67,0.81,1.0
k2,crypto,200_300,20_200_300,0.1,7.33,0.91,1.0
k2,crypto,300_400,21_300_400,0.06,51.67,0.94,1.0
k2,crypto,300_400,22_300_400,0.0,0.0,0.91,1.0
k2,crypto,300_400,23_300_400,0.13,24.0,0.89,1.0
k2,crypto,300_400,24_300_400,0.05,49.67,0.94,1.0
k2,crypto,300_400,25_300_400,0.06,60.67,0.94,1.0
k2,crypto,50_100,10_50_100,0.35,7.67,0.8,1.0
k2,crypto,50_100,6_50_100,0.33,16.0,0.76,1.0
k2,crypto,50_100,7_50_100,0.46,12.33,0.7,1.0
k2,crypto,50_100,8_50_100,0.0,1.67,0.92,1.0
k2,crypto,50_100,9_50_100,0.27,16.33,0.8,1.0
k2,deobfuscation,0_50,1_0_50,0.16,5.33,0.88,1.0
k2,deobfuscation,0_50,2_0_50,0.0,1.0,0.92,1.0
k2,deobfuscation,0_50,3_0_50,0.13,12.67,0.89,1.0
k2,deobfuscation,0_50,4_0_50,0.4,3.0,0.85,1.0
k2,deobfuscation,0_50,5_0_50,0.0,7.33,0.95,1.0
k2,deobfuscation,100_200,11_100_200,0.06,17.0,0.93,1.0
k2,deobfuscation,100_200,12_100_200,0.13,31.0,0.88,1.0
k2,deobfuscation,100_200,13_100_200,0.3,7.0,0.83,1.0
k2,deobfuscation,100_200,14_100_200,0.23,21.67,0.82,1.0
k2,deobfuscation,100_200,15_100_200,0.17,18.5,0.86,1.0
k2,deobfuscation,200_300,16_200_300,0.05,20.0,0.94,1.0
k2,deobfuscation,200_300,17_200_300,0.05,15.33,0.93,1.0
k2,deobfuscation,200_300,18_200_300,0.0,20.67,0.97,1.0
k2,deobfuscation,200_300,19_200_300,0.08,21.33,0.92,1.0
k2,deobfuscation,200_300,20_200_300,0.0,12.0,0.96,1.0
k2,deobfuscation,300_400,21_300_400,0.17,23.0,0.85,1.0
k2,deobfuscation,300_400,22_300_400,0.24,25.33,0.82,1.0
k2,deobfuscation,300_400,23_300_400,0.2,29.0,0.85,1.0
k2,deobfuscation,300_400,24_300_400,0.1,45.33,0.91,1.0
k2,deobfuscation,300_400,25_300_400,0.47,19.67,0.72,1.0
k2,deobfuscation,50_100,10_50_100,0.2,5.0,0.87,1.0
k2,deobfuscation,50_100,6_50_100,0.36,11.0,0.76,1.0
k2,deobfuscation,50_100,7_50_100,0.38,8.0,0.78,1.0
k2,deobfuscation,50_100,8_50_100,0.1,15.67,0.9,1.0
k2,deobfuscation,50_100,9_50_100,0.56,9.0,0.68,1.0
k2,memory_safety,0_50,1_0_50,0.0,5.0,0.94,1.0
k2,memory_safety,0_50,2_0_50,0.0,0.0,0.91,1.0
k2,memory_safety,0_50,3_0_50,0.0,2.0,0.93,1.0
k2,memory_safety,0_50,4_0_50,0.3,5.0,0.85,1.0
k2,memory_safety,0_50,5_0_50,0.0,3.0,0.93,1.0
