test_type,component_name,file_size,false_rate,total_nb_of_tested,ers_score,control_attempts
k2,crypto,0_50,0.07,3.13,0.91,1.0
k2,crypto,100_200,0.21,16.67,0.85,1.0
k2,crypto,200_300,0.13,9.93,0.89,1.0
k2,crypto,300_400,0.06,37.2,0.92,1.0
k2,crypto,50_100,0.28,10.8,0.8,1.0
k2,deobfuscation,0_50,0.14,5.87,0.9,1.0
k2,deobfuscation,100_200,0.18,19.03,0.86,1.0
k2,deobfuscation,200_300,0.04,17.87,0.94,1.0
k2,deobfuscation,300_400,0.24,28.47,0.83,1.0
k2,deobfuscation,50_100,0.32,9.73,0.8,1.0
k2,memory_safety,0_50,0.06,3.0,0.91,1.0
k2,memory_safety,100_200,0.07,21.07,0.92,1.0
k2,memory_safety,200_300,0.01,15.34,0.96,1.0
k2,memory_safety,300_400,0.09,52.53,0.92,1.0
k2,memory_safety,50_100,0.15,14.4,0.87,1.0
k2,rename,0_50,0.0,3.33,0.94,1.0
k2,rename,100_200,0.06,12.27,0.92,1.0
k2,rename,200_300,0.0,7.6,0.95,1.0
k2,rename,300_400,0.05,9.3,0.92,1.0
k2,rename,50_100,0.02,5.73,0.93,1.0
k2_controller,crypto,0_50,0.0,3.33,0.93,1.27
k2_controller,crypto,100_200,0.13,14.93,0.9,2.67
k2_controller,crypto,200_300,0.0,9.8,0.96,1.67
k2_controller,crypto,300_400,0.03,26.47,0.95,2.33
k2_controller,crypto,50_100,0.25,9.2,0.83,2.6
k2_controller,deobfuscation,0_50,0.02,4.93,0.93,1.73
k2_controller,deobfuscation,100_200,0.33,7.0,0.81,3.0
k2_controller,deobfuscation,200_300,0.0,17.71,0.96,1.38
k2_controller,deobfuscation,300_400,0.07,12.42,0.92,1.82
k2_controller,deobfuscation,50_100,0.27,9.73,0.82,2.93
k2_controller,memory_safety,0_50,0.05,3.53,0.91,1.47
k2_controller,memory_safety,100_200,0.02,20.58,0.94,1.42
k2_controller,memory_safety,200_300,0.0,19.27,0.97,1.07
k2_controller,memory_safety,300_400,0.12,45.13,0.9,2.73
k2_controller,memory_safety,50_100,0.12,9.8,0.88,2.27
k2_controller,rename,0_50,0.0,3.4,0.94,1.07
k2_controller,rename,100_200,0.0,11.7,0.96,1.57
k2_controller,rename,200_300,0.0,7.87,0.95,1.0
k2_controller,rename,300_400,0.0,5.75,0.95,1.38
k2_controller,rename,50_100,0.0,5.8,0.95,1.13
