id,test_type,component_name,file_name,file_size,false_rate,total_nb_of_tested,ers_score,control_attempts,errors_functions,errors_variables,errors_calls
k2.crypto.10_50_100.1,k2,crypto,10_50_100,50_100,0.25,8,0.8369,1,,pcVar1|pcVar1,
k2.crypto.10_50_100.2,k2,crypto,10_50_100,50_100,0.4,10,0.7488,1,,0x5c|pcVar1|pcVar1|pcVar1,
k2.crypto.10_50_100.3,k2,crypto,10_50_100,50_100,0.4,5,0.802,1,,0x5c|pcVar1,
k2.crypto.11_100_200.1,k2,crypto,11_100_200,100_200,0.056,18,0.9341,1,,local_870,
k2.crypto.11_100_200.2,k2,crypto,11_100_200,100_200,0.059,17,0.9317,1,,local_870,
k2.crypto.11_100_200.3,k2,crypto,11_100_200,100_200,0.045,22,0.9432,1,,local_870,
k2.crypto.12_100_200.1,k2,crypto,12_100_200,100_200,0.15,20,0.8699,1,,local_40|local_30|pcStack_38,
k2.crypto.12_100_200.2,k2,crypto,12_100_200,100_200,0.107,28,0.8982,1,,pcStack_38|local_40|local_30,
k2.crypto.12_100_200.3,k2,crypto,12_100_200,100_200,0.24,25,0.8008,1,,pcStack_38|local_40|local_30|pcStack_38|local_40|local_30,
k2.crypto.13_100_200.1,k2,crypto,13_100_200,100_200,0.5,6,0.7485,1,,local_30[1]|local_30[0]|local_30[2],
k2.crypto.13_100_200.2,k2,crypto,13_100_200,100_200,0.3,10,0.8015,1,,local_30[1]|local_30[0]|local_30[2],
k2.crypto.13_100_200.3,k2,crypto,13_100_200,100_200,0.5,6,0.7485,1,,local_30[1]|local_30[0]|local_30[2],
k2.crypto.14_100_200.1,k2,crypto,14_100_200,100_200,0.214,14,0.8362,1,,local_5a8|0x9e3779b9|local_5a8,
k2.crypto.14_100_200.2,k2,crypto,14_100_200,100_200,0.333,15,0.7597,1,,local_5a8|expand 32-byte secret|0x9e3779b9|local_5a8|local_5a8,
k2.crypto.14_100_200.3,k2,crypto,14_100_200,100_200,0.188,16,0.8488,1,,local_5a8|0x9e3779b9|local_5a8,
k2.crypto.15_100_200.1,k2,crypto,15_100_200,100_200,0.231,26,0.8063,1,,00112233445566778899aabbccddeeff|a1a2a3a4a5a6a7a8a9aaabacadaeaf00|feedfacecafebeef1234567890abcdef|0x11|0x22|0x33,
